id	score	v	d-obj	p	p-title
000001	?	remove	old sheets	bedsheets	bed sheets
000002	?	remove	old sheets	laundry	bed sheets
000003	?	remove	old sheets	pillows	bed sheets
000004	?	remove	old sheets	washing machine	bed sheets
000005	?	remove	old sheets	new sheets	bed sheets
000006	?	remove	old sheets	bed	bed sheets
000007	?	remove	old sheets	mattress	bed sheets
000008	?	remove	old sheets	bedspread	bed sheets
000009	?	remove	old sheets	laundry hamper	bed sheets
000010	?	remove	old sheets	bedsheet	bed sheets
000011	?	remove	old sheets	laundry basket	bed sheets
000012	?	remove	old sheets	wash	bed sheets
000013	?	remove	old sheets	dirty clothes	bed sheets
000014	?	putting	clean bed sheets	bedsheets	bed sheets
000015	?	putting	clean bed sheets	laundry	bed sheets
000016	?	putting	clean bed sheets	pillows	bed sheets
000017	?	putting	clean bed sheets	washing machine	bed sheets
000018	?	putting	clean bed sheets	new sheets	bed sheets
000019	?	putting	clean bed sheets	old sheets	bed sheets
000020	?	putting	clean bed sheets	bed	bed sheets
000021	?	putting	clean bed sheets	mattress	bed sheets
000022	?	putting	clean bed sheets	bedspread	bed sheets
000023	?	putting	clean bed sheets	laundry hamper	bed sheets
000024	?	putting	clean bed sheets	bedsheet	bed sheets
000025	?	putting	clean bed sheets	laundry basket	bed sheets
000026	?	putting	clean bed sheets	wash	bed sheets
000027	?	putting	clean bed sheets	dirty clothes	bed sheets
000028	?	remove	old dirty bed sheets	bedsheets	bed sheets
000029	?	remove	old dirty bed sheets	laundry	bed sheets
000030	?	remove	old dirty bed sheets	pillows	bed sheets
000031	?	remove	old dirty bed sheets	washing machine	bed sheets
000032	?	remove	old dirty bed sheets	new sheets	bed sheets
000033	?	remove	old dirty bed sheets	old sheets	bed sheets
000034	?	remove	old dirty bed sheets	bed	bed sheets
000035	?	remove	old dirty bed sheets	mattress	bed sheets
000036	?	remove	old dirty bed sheets	bedspread	bed sheets
000037	?	remove	old dirty bed sheets	laundry hamper	bed sheets
000038	?	remove	old dirty bed sheets	bedsheet	bed sheets
000039	?	remove	old dirty bed sheets	laundry basket	bed sheets
000040	?	remove	old dirty bed sheets	wash	bed sheets
000041	?	remove	old dirty bed sheets	dirty clothes	bed sheets
000042	?	fold	corners	bedsheets	bed sheets
000043	?	fold	corners	laundry	bed sheets
000044	?	fold	corners	pillows	bed sheets
000045	?	fold	corners	washing machine	bed sheets
000046	?	fold	corners	new sheets	bed sheets
000047	?	fold	corners	old sheets	bed sheets
000048	?	fold	corners	bed	bed sheets
000049	?	fold	corners	mattress	bed sheets
000050	?	fold	corners	bedspread	bed sheets
000051	?	fold	corners	laundry hamper	bed sheets
000052	?	fold	corners	bedsheet	bed sheets
000053	?	fold	corners	laundry basket	bed sheets
000054	?	fold	corners	wash	bed sheets
000055	?	fold	corners	dirty clothes	bed sheets
000056	?	put	new sheets	bedsheets	bed sheets
000057	?	put	new sheets	laundry	bed sheets
000058	?	put	new sheets	pillows	bed sheets
000059	?	put	new sheets	washing machine	bed sheets
000060	?	put	new sheets	old sheets	bed sheets
000061	?	put	new sheets	bed	bed sheets
000062	?	put	new sheets	mattress	bed sheets
000063	?	put	new sheets	bedspread	bed sheets
000064	?	put	new sheets	laundry hamper	bed sheets
000065	?	put	new sheets	bedsheet	bed sheets
000066	?	put	new sheets	laundry basket	bed sheets
000067	?	put	new sheets	wash	bed sheets
000068	?	put	new sheets	dirty clothes	bed sheets
000069	?	place	them	bedsheets	bed sheets
000070	?	place	them	laundry	bed sheets
000071	?	place	them	pillows	bed sheets
000072	?	place	them	washing machine	bed sheets
000073	?	place	them	new sheets	bed sheets
000074	?	place	them	old sheets	bed sheets
000075	?	place	them	bed	bed sheets
000076	?	place	them	mattress	bed sheets
000077	?	place	them	bedspread	bed sheets
000078	?	place	them	laundry hamper	bed sheets
000079	?	place	them	bedsheet	bed sheets
000080	?	place	them	laundry basket	bed sheets
000081	?	place	them	wash	bed sheets
000082	?	place	them	dirty clothes	bed sheets
000083	?	replace	new sheet	bedsheets	bed sheets
000084	?	replace	new sheet	laundry	bed sheets
000085	?	replace	new sheet	pillows	bed sheets
000086	?	replace	new sheet	washing machine	bed sheets
000087	?	replace	new sheet	new sheets	bed sheets
000088	?	replace	new sheet	old sheets	bed sheets
000089	?	replace	new sheet	bed	bed sheets
000090	?	replace	new sheet	mattress	bed sheets
000091	?	replace	new sheet	bedspread	bed sheets
000092	?	replace	new sheet	laundry hamper	bed sheets
000093	?	replace	new sheet	bedsheet	bed sheets
000094	?	replace	new sheet	laundry basket	bed sheets
000095	?	replace	new sheet	wash	bed sheets
000096	?	replace	new sheet	dirty clothes	bed sheets
000097	?	spread	sheet	bedsheets	bed sheets
000098	?	spread	sheet	laundry	bed sheets
000099	?	spread	sheet	pillows	bed sheets
000100	?	spread	sheet	washing machine	bed sheets
000101	?	spread	sheet	new sheets	bed sheets
000102	?	spread	sheet	old sheets	bed sheets
000103	?	spread	sheet	bed	bed sheets
000104	?	spread	sheet	mattress	bed sheets
000105	?	spread	sheet	bedspread	bed sheets
000106	?	spread	sheet	laundry hamper	bed sheets
000107	?	spread	sheet	bedsheet	bed sheets
000108	?	spread	sheet	laundry basket	bed sheets
000109	?	spread	sheet	wash	bed sheets
000110	?	spread	sheet	dirty clothes	bed sheets
000111	?	put	existing bedsheet	bedsheets	bed sheets
000112	?	put	existing bedsheet	laundry	bed sheets
000113	?	put	existing bedsheet	pillows	bed sheets
000114	?	put	existing bedsheet	washing machine	bed sheets
000115	?	put	existing bedsheet	new sheets	bed sheets
000116	?	put	existing bedsheet	old sheets	bed sheets
000117	?	put	existing bedsheet	bed	bed sheets
000118	?	put	existing bedsheet	mattress	bed sheets
000119	?	put	existing bedsheet	bedspread	bed sheets
000120	?	put	existing bedsheet	laundry hamper	bed sheets
000121	?	put	existing bedsheet	bedsheet	bed sheets
000122	?	put	existing bedsheet	laundry basket	bed sheets
000123	?	put	existing bedsheet	wash	bed sheets
000124	?	put	existing bedsheet	dirty clothes	bed sheets
000125	?	find	replacement bedsheets	bedsheets	bed sheets
000126	?	find	replacement bedsheets	laundry	bed sheets
000127	?	find	replacement bedsheets	pillows	bed sheets
000128	?	find	replacement bedsheets	washing machine	bed sheets
000129	?	find	replacement bedsheets	new sheets	bed sheets
000130	?	find	replacement bedsheets	old sheets	bed sheets
000131	?	find	replacement bedsheets	bed	bed sheets
000132	?	find	replacement bedsheets	mattress	bed sheets
000133	?	find	replacement bedsheets	bedspread	bed sheets
000134	?	find	replacement bedsheets	laundry hamper	bed sheets
000135	?	find	replacement bedsheets	bedsheet	bed sheets
000136	?	find	replacement bedsheets	laundry basket	bed sheets
000137	?	find	replacement bedsheets	wash	bed sheets
000138	?	find	replacement bedsheets	dirty clothes	bed sheets
000139	?	put	used sheets	bedsheets	bed sheets
000140	?	put	used sheets	laundry	bed sheets
000141	?	put	used sheets	pillows	bed sheets
000142	?	put	used sheets	washing machine	bed sheets
000143	?	put	used sheets	new sheets	bed sheets
000144	?	put	used sheets	old sheets	bed sheets
000145	?	put	used sheets	bed	bed sheets
000146	?	put	used sheets	mattress	bed sheets
000147	?	put	used sheets	bedspread	bed sheets
000148	?	put	used sheets	laundry hamper	bed sheets
000149	?	put	used sheets	bedsheet	bed sheets
000150	?	put	used sheets	laundry basket	bed sheets
000151	?	put	used sheets	wash	bed sheets
000152	?	put	used sheets	dirty clothes	bed sheets
000153	?	put	clean sheets	bedsheets	bed sheets
000154	?	put	clean sheets	laundry	bed sheets
000155	?	put	clean sheets	pillows	bed sheets
000156	?	put	clean sheets	washing machine	bed sheets
000157	?	put	clean sheets	new sheets	bed sheets
000158	?	put	clean sheets	old sheets	bed sheets
000159	?	put	clean sheets	bed	bed sheets
000160	?	put	clean sheets	mattress	bed sheets
000161	?	put	clean sheets	bedspread	bed sheets
000162	?	put	clean sheets	laundry hamper	bed sheets
000163	?	put	clean sheets	bedsheet	bed sheets
000164	?	put	clean sheets	laundry basket	bed sheets
000165	?	put	clean sheets	wash	bed sheets
000166	?	put	clean sheets	dirty clothes	bed sheets
000167	?	removing	old sheets	bedsheets	bed sheets
000168	?	removing	old sheets	laundry	bed sheets
000169	?	removing	old sheets	pillows	bed sheets
000170	?	removing	old sheets	washing machine	bed sheets
000171	?	removing	old sheets	new sheets	bed sheets
000172	?	removing	old sheets	bed	bed sheets
000173	?	removing	old sheets	mattress	bed sheets
000174	?	removing	old sheets	bedspread	bed sheets
000175	?	removing	old sheets	laundry hamper	bed sheets
000176	?	removing	old sheets	bedsheet	bed sheets
000177	?	removing	old sheets	laundry basket	bed sheets
000178	?	removing	old sheets	wash	bed sheets
000179	?	removing	old sheets	dirty clothes	bed sheets
000180	?	take	used sheets	bedsheets	bed sheets
000181	?	take	used sheets	laundry	bed sheets
000182	?	take	used sheets	pillows	bed sheets
000183	?	take	used sheets	washing machine	bed sheets
000184	?	take	used sheets	new sheets	bed sheets
000185	?	take	used sheets	old sheets	bed sheets
000186	?	take	used sheets	bed	bed sheets
000187	?	take	used sheets	mattress	bed sheets
000188	?	take	used sheets	bedspread	bed sheets
000189	?	take	used sheets	laundry hamper	bed sheets
000190	?	take	used sheets	bedsheet	bed sheets
000191	?	take	used sheets	laundry basket	bed sheets
000192	?	take	used sheets	wash	bed sheets
000193	?	take	used sheets	dirty clothes	bed sheets
000194	?	smooth	sheet	bedsheets	bed sheets
000195	?	smooth	sheet	laundry	bed sheets
000196	?	smooth	sheet	pillows	bed sheets
000197	?	smooth	sheet	washing machine	bed sheets
000198	?	smooth	sheet	new sheets	bed sheets
000199	?	smooth	sheet	old sheets	bed sheets
000200	?	smooth	sheet	bed	bed sheets
000201	?	smooth	sheet	mattress	bed sheets
000202	?	smooth	sheet	bedspread	bed sheets
000203	?	smooth	sheet	laundry hamper	bed sheets
000204	?	smooth	sheet	bedsheet	bed sheets
000205	?	smooth	sheet	laundry basket	bed sheets
000206	?	smooth	sheet	wash	bed sheets
000207	?	smooth	sheet	dirty clothes	bed sheets
000208	?	tuck	corners	bedsheets	bed sheets
000209	?	tuck	corners	laundry	bed sheets
000210	?	tuck	corners	pillows	bed sheets
000211	?	tuck	corners	washing machine	bed sheets
000212	?	tuck	corners	new sheets	bed sheets
000213	?	tuck	corners	old sheets	bed sheets
000214	?	tuck	corners	bed	bed sheets
000215	?	tuck	corners	mattress	bed sheets
000216	?	tuck	corners	bedspread	bed sheets
000217	?	tuck	corners	laundry hamper	bed sheets
000218	?	tuck	corners	bedsheet	bed sheets
000219	?	tuck	corners	laundry basket	bed sheets
000220	?	tuck	corners	wash	bed sheets
000221	?	tuck	corners	dirty clothes	bed sheets
000222	?	fitted	sheet	bedsheets	bed sheets
000223	?	fitted	sheet	laundry	bed sheets
000224	?	fitted	sheet	pillows	bed sheets
000225	?	fitted	sheet	washing machine	bed sheets
000226	?	fitted	sheet	new sheets	bed sheets
000227	?	fitted	sheet	old sheets	bed sheets
000228	?	fitted	sheet	bed	bed sheets
000229	?	fitted	sheet	mattress	bed sheets
000230	?	fitted	sheet	bedspread	bed sheets
000231	?	fitted	sheet	laundry hamper	bed sheets
000232	?	fitted	sheet	bedsheet	bed sheets
000233	?	fitted	sheet	laundry basket	bed sheets
000234	?	fitted	sheet	wash	bed sheets
000235	?	fitted	sheet	dirty clothes	bed sheets
000236	?	getting	new sheets	bedsheets	bed sheets
000237	?	getting	new sheets	laundry	bed sheets
000238	?	getting	new sheets	pillows	bed sheets
000239	?	getting	new sheets	washing machine	bed sheets
000240	?	getting	new sheets	old sheets	bed sheets
000241	?	getting	new sheets	bed	bed sheets
000242	?	getting	new sheets	mattress	bed sheets
000243	?	getting	new sheets	bedspread	bed sheets
000244	?	getting	new sheets	laundry hamper	bed sheets
000245	?	getting	new sheets	bedsheet	bed sheets
000246	?	getting	new sheets	laundry basket	bed sheets
000247	?	getting	new sheets	wash	bed sheets
000248	?	getting	new sheets	dirty clothes	bed sheets
000249	?	put	sheets	bedsheets	bed sheets
000250	?	put	sheets	laundry	bed sheets
000251	?	put	sheets	pillows	bed sheets
000252	?	put	sheets	washing machine	bed sheets
000253	?	put	sheets	new sheets	bed sheets
000254	?	put	sheets	old sheets	bed sheets
000255	?	put	sheets	bed	bed sheets
000256	?	put	sheets	mattress	bed sheets
000257	?	put	sheets	bedspread	bed sheets
000258	?	put	sheets	laundry hamper	bed sheets
000259	?	put	sheets	bedsheet	bed sheets
000260	?	put	sheets	laundry basket	bed sheets
000261	?	put	sheets	wash	bed sheets
